t,motion_raw,motion_smooth,is_boundary
0,0.027371,0.401841,0
1,0.025971,0.340679,0
2,1.636276,0.285896,0
3,0.024204,0.237165,0
4,0.025380,0.194158,0
5,0.024335,0.156549,0
6,0.024800,0.124012,0
7,0.027903,0.096218,0
8,0.024358,0.072842,0
9,0.023869,0.053555,0
10,0.032515,0.038032,0
11,0.024448,0.025945,0
12,0.022097,0.016968,0
13,0.028327,0.010773,0
14,0.026110,0.007034,0
15,0.024214,0.005423,0
16,0.024770,-0.016593,0
17,0.035933,-0.040454,0
18,0.024109,0.025718,0
19,0.024123,0.025640,0
20,0.024126,0.025593,0
21,0.029459,0.025075,0
22,0.023189,0.025074,0
23,0.023872,0.025232,0
24,0.024000,0.025229,0
25,0.021970,0.025173,0
26,0.024021,0.025577,0
27,0.025085,0.025548,0
28,0.025984,0.025334,0
29,0.024271,0.025423,0
30,0.025050,0.025433,0
31,0.025817,0.025325,0
32,0.029990,0.025093,0
33,0.024283,0.025626,0
34,0.024835,0.025689,0
35,0.024886,0.025703,0
36,0.034594,0.025727,0
37,0.025358,0.026063,0
38,0.025147,0.026087,0
39,0.024680,0.026108,0
40,0.024284,0.026140,0
41,0.023680,0.026026,0
42,0.025000,0.025962,0
43,0.025603,0.025834,0
44,0.025397,0.025901,0
45,0.025232,0.025862,0
46,0.025561,0.025820,0
47,0.028774,0.025635,0
48,0.026350,0.025918,0
49,0.025820,0.025930,0
50,0.026608,0.025932,0
51,0.026212,0.025635,0
52,0.025629,0.026209,0
53,0.026095,0.026374,0
54,0.026387,0.026512,0
55,0.025844,0.026323,0
56,0.025975,0.026442,0
57,0.026120,0.026483,0
58,0.028462,0.026491,0
59,0.025510,0.026571,0
60,0.025495,0.026626,0
61,0.025733,0.026636,0
62,0.029730,0.026080,0
63,0.025259,0.026386,0
64,0.025146,0.026557,0
65,0.025094,0.026679,0
66,0.031583,0.026631,0
67,0.025228,0.026769,0
68,0.025367,0.026847,0
69,0.025244,0.026915,0
70,0.031905,0.026739,0
71,0.025413,0.026854,0
72,0.025367,0.026922,0
73,0.026582,0.026611,0
74,0.025198,0.026870,0
75,0.024757,0.026968,0
76,0.024652,0.026997,0
77,0.037786,0.026813,0
78,0.024999,0.027054,0
79,0.025128,0.027031,0
80,0.024945,0.026933,0
81,0.029271,0.026705,0
82,0.025171,0.026868,0
83,0.025121,0.026710,0
84,0.025096,0.026497,0
85,0.030687,0.026245,0
86,0.024230,0.026273,0
87,0.024341,0.025997,0
88,0.032676,0.025680,0
89,0.023982,0.025390,0
90,0.023492,0.025008,0
91,0.023553,0.024572,0
92,0.027529,0.024035,0
93,0.022742,0.024280,0
94,0.022857,0.023985,0
95,0.022845,0.023692,0
96,0.024246,0.023320,0
97,0.022507,0.023201,0
98,0.022415,0.022962,0
99,0.022431,0.022744,0
100,0.021848,0.022549,0
101,0.022633,0.022653,0
102,0.022583,0.022520,0
103,0.022584,0.022450,0
104,0.022710,0.022870,0
105,0.022773,0.022962,0
106,0.022791,0.023047,0
107,0.024247,0.023122,0
108,0.023064,0.023498,0
